id	url	name	orgid	orgname
37105	Валовой скорректированный располагаемый доход в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57582	Валовой скорректированный располагаемый доход в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
37110	Валовой смешанный  доход в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57623	Валовой смешанный доход в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
58244	Валюта баланса c 2017 г.	1	Федеральная служба государственной статистики
37185	Валюта баланса по 2016 г.	1	Федеральная служба государственной статистики
33573	Введено в действие мощностей и объектов (оперативная)	1	Федеральная служба государственной статистики
30951	Введено в действие мощностей и объектов по 2008 г.	1	Федеральная служба государственной статистики
57605	Введено в действие мощностей и объектов с (оперативная) 2017 г.	1	Федеральная служба государственной статистики
40633	Введено в действие мощностей и объектов с 2009г. по 2016г.	1	Федеральная служба государственной статистики
57700	Введено в действие мощностей и объектов с 2017 г.	1	Федеральная служба государственной статистики
30954	Введено в действие общей площади жилых домов	1	Федеральная служба государственной статистики
34118	Введено в действие общей площади жилых домов (оперативные данные)	1	Федеральная служба государственной статистики
33574	Введено в действие общей площади жилых домов на 1000 человек населения	1	Федеральная служба государственной статистики
33575	Введено в действие общей площади жилых домов, построенных населением (оперативные данные)	1	Федеральная служба государственной статистики
40741	Введено в действие общей площади построенных населением жилых домов	1	Федеральная служба государственной статистики
30955	Введено в действие объектов социально-культурного назначения	1	Федеральная служба государственной статистики
33576	Введено в действие объектов социально-культурного назначения (оперативная)	1	Федеральная служба государственной статистики
58522	Введено в эксплуатацию количество приборов учета с 2017 г.	1	Федеральная служба государственной статистики
40472	Введено в эксплуатацию приборов учета энергетических ресурсов по 2016 г.	1	Федеральная служба государственной статистики
33577	Введено источников теплоснабжения	1	Федеральная служба государственной статистики
40438	Введено новых основных фондов в среднегодовых ценах по 2016 г.	1	Федеральная служба государственной статистики
58549	Введено новых основных фондов в среднегодовых ценах с 2017 г.	1	Федеральная служба государственной статистики
40546	Ввезено сельскохозяйственных продуктов на территорию субъекта Российской Федерации от сельскохозяйственных организаций других субъектов Российской Федерации	1	Федеральная служба государственной статистики
51005	Ввод (приобретение) жилья для граждан, проживающих в сельской местности	30	Министерство сельского хозяйства Российской Федерации
51009	Ввод в действие локальных водопроводов	30	Министерство сельского хозяйства Российской Федерации
51010	Ввод в действие общеобразовательных организаций	30	Министерство сельского хозяйства Российской Федерации
50154	Ввод в действие основных фондов на 1 рубль инвестиций по основным видам деятельности в среднегодовых ценах по 2016 г.	1	Федеральная служба государственной статистики
58128	Ввод в действие основных фондов на 1 рубль инвестиций по основным видам деятельности в среднегодовых ценах с 2017 г.	1	Федеральная служба государственной статистики
51008	Ввод в действие плоскостных спортивных сооружений	30	Министерство сельского хозяйства Российской Федерации
33581	Ввод в действие природоохранных мощностей по 2008 г.	1	Федеральная служба государственной статистики
36064	Ввод в действие природоохранных мощностей с 2009 г. по 2016 г.	1	Федеральная служба государственной статистики
58082	Ввод в действие природоохранных мощностей с 2017 г.	1	Федеральная служба государственной статистики
51012	Ввод в действие распределительных газовых сетей	30	Министерство сельского хозяйства Российской Федерации
51007	Ввод в действие фельдшерско-акушерских пунктов и/или офисов врачей общей практики	30	Министерство сельского хозяйства Российской Федерации
53466	Ввод в эксплуатацию мелиорируемых земель за счет реконструкции, технического перевооружения и строительства новых мелиоративных систем, включая мелиоративные системы общего и индивидуального пользования	30	Министерство сельского хозяйства Российской Федерации
40444	Ввод новых основных фондов по полному кругу организаций по 2016 г.	1	Федеральная служба государственной статистики
58539	Ввод новых основных фондов по полному кругу организаций с 2017 г.	1	Федеральная служба государственной статистики
44151	Ввоз (покупка) продовольственных товаров по субъектам Российской Федерации  по 2016 г.	1	Федеральная служба государственной статистики
57846	Ввоз (покупка) продовольственных товаров по субъектам Российской Федерации  с 2017 г.	1	Федеральная служба государственной статистики
34469	Ввоз, включая импорт	1	Федеральная служба государственной статистики
58968	Ввоз, включая импорт с 2018 г.	1	Федеральная служба государственной статистики
43521	Величина выплаченной арендной платы за отчетный год (для взятых в аренду основных фондов) по 2016 г.	1	Федеральная служба государственной статистики
58534	Величина выплаченной арендной платы за отчетный год (для взятых в аренду основных фондов) с 2017 г.	1	Федеральная служба государственной статистики
43399	Величина компенсационных фондов саморегулируемых организаций аудиторов	36	Министерство финансов Российской Федерации
58530	Величина полученной арендной платы за  отчетный год (для сданных в аренду основных фондов) с 2017 г.	1	Федеральная служба государственной статистики
43522	Величина полученной арендной платы за отчетный год (для сданных в аренду основных фондов) по 2016 г.	1	Федеральная служба государственной статистики
30957	Величина прожиточного минимума	1	Федеральная служба государственной статистики
43622	Величина уставного капитала товарных бирж и товарных отделов (секций) бирж	1	Федеральная служба государственной статистики
58536	Вероятность смерти детей от момента рождения до 5 лет (3.2.1.)	1	Федеральная служба государственной статистики
58163	Вес уничтоженных дикорастущих наркосодержащих растений	3	Министерство внутренних дел Российской Федерации
40419	Вес уничтоженных дикорастущих наркосодержащих растений по данным ФСКН России (по 2015 год)	3	Министерство внутренних дел Российской Федерации
58164	Вес уничтоженных наркосодержащих растений, обнаруженных на незаконно выращенных посевах	3	Министерство внутренних дел Российской Федерации
40421	Вес уничтоженных наркосодержащих растений, обнаруженных на незаконно выращенных посевах, по данным ФСКН России (по 2015 год)	3	Министерство внутренних дел Российской Федерации
40646	Взносы ассоциированных членов кооператива по 2016 г.	1	Федеральная служба государственной статистики
58138	Взносы ассоциированных членов кооператива с 2017 г.	1	Федеральная служба государственной статистики
37079	Взносы ассоциированных членов снабженческо-сбытовых сельскохозяйственных потребительских кооперативов	1	Федеральная служба государственной статистики
33585	Взносы в ревизионный союз за период с начала отчетного года снабженческо-сбытовыми сельскохозяйственными потребительскими кооперативами	1	Федеральная служба государственной статистики
33584	Взносы в снабженческо-сбытовые сельскохозяйственные потребительские кооперативы последующего уровня за период с начала отчетного года	1	Федеральная служба государственной статистики
42586	Взыскано штрафных санкций за нарушение законодательства Российской Федерации о применении контрольно-кассовой техники	37	Федеральная налоговая служба
33586	Виды маршрутов на территории государственных природных заповедников (включая экотропы и маршруты в охранной зоне)	1	Федеральная служба государственной статистики
33587	Виды маршрутов на территории национальных парков (включая экотропы и маршруты в охранной зоне)	1	Федеральная служба государственной статистики
44147	Виды экологических троп и маршрутов на территории особо охраняемых природных территорий	1	Федеральная служба государственной статистики
42475	Вклады (депозиты) физических лиц	48	Центральный банк
42629	Вместимость резервуаров для хранения нефтепродуктов	27	Министерство энергетики Российской Федерации
42631	Вместимость резервуаров для хранения нефти	27	Министерство энергетики Российской Федерации
