id	url	name	orgid	orgname
41535	Общий объем операций с использованием банковских карт	48	Центральный банк
43305	Общий объем поставок товаров, выполнение работ, оказание услуг, определенный в соответствии с перечнем товаров, работ, услуг, установленный Правительством Российской Федерации	1	Федеральная служба государственной статистики
43651	Общий объем поступивших денежных средств и имущества по 2016 г.	1	Федеральная служба государственной статистики
43267	Общий объем присоединенной (максимальной) мощности по заключенным договорам на технологическое присоединение к электрическим сетям по 2016 г.	1	Федеральная служба государственной статистики
58641	Общий объем присоединенной (максимальной) мощности по заключенным договорам на технологическое присоединение к электрическим сетям с 2017 г.	1	Федеральная служба государственной статистики
43270	Общий объем фактически присоединенной (максимальной) мощности  к объектам электросетевого хозяйства по 2016 г.	1	Федеральная служба государственной статистики
58643	Общий объем фактически присоединенной (максимальной) мощности к объектам электросетевого хозяйства с 2017 г.	1	Федеральная служба государственной статистики
37453	Общий объем финансирования всех образовательных организаций, реализующих программы общего образования	22	Министерство образования и науки Российской Федерации
31272	Общий прирост населения	1	Федеральная служба государственной статистики
39469	Общий рабочий орбитально-частотный ресурс на отечественных космических аппаратах, МГц	18	Министерство связи и массовых коммуникаций Российской Федерации
40561	Общий строительный объем введенных зданий	1	Федеральная служба государственной статистики
43300	Общий строительный объем введенных зданий (оперативная)	1	Федеральная служба государственной статистики
57876	Общий фонд газовых скважин	1	Федеральная служба государственной статистики
37794	Общий фонд музеев Минкультуры России	54	Министерство культуры Российской Федерации
58204	Общий фонд музеев, не относящихся к сфере ведения Минкультуры России	54	Министерство культуры Российской Федерации
36639	Общий фонд скважин на конец отчетного года	1	Федеральная служба государственной статистики
37425	Объекты бытового обслуживания населения по 2016 г.	1	Федеральная служба государственной статистики
57792	Объем бытовых услуг населению (оперативные данные)	1	Федеральная служба государственной статистики
31274	Объем бытовых услуг населению по 2016 г.	1	Федеральная служба государственной статистики
58470	Объем бытовых услуг населению с 2017 г.	1	Федеральная служба государственной статистики
51629	Объем бюджетных средств, предусмотренных программой (подпрограммой)	1	Федеральная служба государственной статистики
51645	Объем валового регионального продукта на душу населения	1	Федеральная служба государственной статистики
42982	Объем выбросов вредных (загрязняющих) веществ в атмосферный воздух от стационарных источников, расположенных на территории субъекта Российской Федерации	1	Федеральная служба государственной статистики
42723	Объем выбросов вредных(загрязняющих) веществ в атмосферный воздух от автомобильного транспорта	57	Федеральная служба по надзору в сфере природопользования
42724	Объем выбросов вредных(загрязняющих) веществ в атмосферный воздух от автомобильного транспорта, зарегистрированного на территории субъекта Российской Федерации	57	Федеральная служба по надзору в сфере природопользования
42722	Объем выбросов вредных(загрязняющих) веществ в атмосферный воздух от железнодорожного транспорта	57	Федеральная служба по надзору в сфере природопользования
58448	Объем выбросов парниковых газов (тонн CO 2-экв.) на единицу валового внутреннего продукта (в текущих ценах, млн. руб.) (9.4.1)	61	Министерство природных ресурсов и экологии Российской Федерации
38992	Объем выдачи инвестиционных паев паевых инвестиционных фондов	48	Центральный банк
42482	Объем выпущенных кредитными организациями сберегательных (депозитных) сертификатов и облигаций	48	Центральный банк
42478	Объем выпущенных кредитными организациями сберегательных (депозитных) сертификатов и облигаций	48	Центральный банк
33836	Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности индивидуальных предпринимателей за 2009 г.	1	Федеральная служба государственной статистики
43006	Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности по 2016 г.	1	Федеральная служба государственной статистики
58488	Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности с 2017 г.	1	Федеральная служба государственной статистики
37123	Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам предпринимательской деятельности	1	Федеральная служба государственной статистики
42645	Объем газа, подлежащий поставке по договорам	27	Министерство энергетики Российской Федерации
33837	Объем геологоразведочных работ за счет всех источников финансирования	1	Федеральная служба государственной статистики
33838	Объем геологоразведочных работ на глубокое разведочное бурение	1	Федеральная служба государственной статистики
33839	Объем геологоразведочных работ по важнейшим видам полезных ископаемых	1	Федеральная служба государственной статистики
33840	Объем геологоразведочных работ по стадиям работ	1	Федеральная служба государственной статистики
57954	Объем грантов, выданных физическим и юридическим лицам	70	Федеральное агентство по делам молодежи
40621	Объем единовременного хранения товаров в собственных (без сданных в аренду) и арендованных холодильниках в среднем на одну организацию	1	Федеральная служба государственной статистики
43027	Объем единовременного хранения товаров в холодильниках	1	Федеральная служба государственной статистики
43494	Объем ежегодно возобновляемых водных ресурсов	42	Федеральная служба по гидрометеорологии и мониторингу окружающей среды
37848	Объем заготовленной древесины	24	Федеральное агентство лесного хозяйства
57680	Объем запасов некультивируемых видов водных биологических ресурсов на конец года	41	Федеральное агентство по рыболовству
57681	Объем запасов некультивируемых видов водных биологических ресурсов на начало года	41	Федеральное агентство по рыболовству
38708	Объем зарегистрированных за отчетный период выпусков (дополнительных выпусков) корпоративных эмисионных ценных бумаг (за исключением выпусков эмиссионных ценных бумаг Центрального банка Российской Федерации, выпусков эмиссионных ценных бумаг кредитных организаций, а также выпусков государственных и муниципальных ценных бумаг)	48	Центральный банк
57962	Объем израсходованной (расход) продукции сельского хозяйства	30	Министерство сельского хозяйства Российской Федерации
43712	Объем инвестиций в основной капитал (за исключением бюджетных средств)	1	Федеральная служба государственной статистики
59036	Объем инвестиций в основной капитал (за исключением бюджетных средств) с 2018 г.	1	Федеральная служба государственной статистики
59035	Объем инвестиций в основной капитал (кроме бюджетных средств федерального бюджета, инвестиций в добывающие отрасли) на душу населения	1	Федеральная служба государственной статистики
42937	Объем инвестиций в основной капитал, за исключением бюджетных средств, в расчете на  1 человека	1	Федеральная служба государственной статистики
44090	Объем инвестиций в основной капитал, за исключением бюджетных средств, в расчете на 1 человека	1	Федеральная служба государственной статистики
31278	Объем инновационных товаров, работ, услуг по 2016 г.	1	Федеральная служба государственной статистики
45519	Объем информации, переданной от/к абонентам при доступе в Интернет (кроме сетей подвижной связи)	18	Министерство связи и массовых коммуникаций Российской Федерации
45521	Объем информации, переданной от/к абонентам сетей подвижной связи при доступе в Интернет	18	Министерство связи и массовых коммуникаций Российской Федерации
43652	Объем иных поступлений денежных средств и имущества по 2016 г.	1	Федеральная служба государственной статистики
43624	Объем исполненных фьючерсных контрактов	1	Федеральная служба государственной статистики
43604	Объем исполненных фьючерсных контрактов в натуральном выражении	1	Федеральная служба государственной статистики
39233	Объем междупортовых перевозок грузов морским транспортом (отправлено, прибыло грузов)	35	Федеральное агентство морского и речного транспорта
58950	Объем налоговых доходов консолидированного бюджета субъекта Российской Федерации (за вычетом: транспортного налога; налога на добычу полезных ископаемых; акцизов на автомобильный и прямогонный бензин, дизельное топливо, моторные масла для дизельных и (или) карбюраторных (инжекторных) двигателей, производимых на территории Российской Федерации; налога на прибыль и прочих платежей при выполнении соглашений о разделе продукции, в том числе платежей за пользование недрами, регулярных платежей за добычу полезных ископаемых (роялти); разовых поступлений) на душу населения, скорректированный на индекс бюджетных расходов	36	Министерство финансов Российской Федерации
44609	Объем налоговых и неналоговых доходов консолидированного бюджета субъекта Российской Федерации	39	Федеральное казначейство
34560	Объем оборотного и повторно-последовательного водоснабжения	23	Федеральное агентство водных ресурсов
58430	Объем обязательств и выплат в рамках инициативы «Помощь в торговле»(8.а.1)	36	Министерство финансов Российской Федерации
41653	Объем оказанной амбулаторной медицинской помощи в расчете на одного жителя	15	Министерство здравоохранения Российской Федерации
41651	Объем оказанной медицинской помощи в дневных стационарах всех типов в расчете на одного жителя	15	Министерство здравоохранения Российской Федерации
41652	Объем оказанной скорой медицинской помощи в расчете на одного жителя	15	Министерство здравоохранения Российской Федерации
41654	Объем оказанной стационарной медицинской помощи в расчете на одного жителя	15	Министерство здравоохранения Российской Федерации
41450	Объем операций с физическими лицами по покупке и продаже наличной иностранной валюты уполномоченными банками и их филиалами (в долларовом эквиваленте по всем видам валют)	48	Центральный банк
43000	Объем оплаченной  продукции	1	Федеральная служба государственной статистики
31276	Объем оплаченной  продукции по крупным и средним организациям	1	Федеральная служба государственной статистики
42997	Объем оплаченной продукции векселями	1	Федеральная служба государственной статистики
31284	Объем оплаченной продукции векселями по крупным и средним организациям	1	Федеральная служба государственной статистики
42994	Объем оплаченной продукции взаимным зачетом требований	1	Федеральная служба государственной статистики
31285	Объем оплаченной продукции взаимным зачетом требований по крупным и средним организациям	1	Федеральная служба государственной статистики
42999	Объем оплаченной продукции денежными  средствами	1	Федеральная служба государственной статистики
31286	Объем оплаченной продукции денежными  средствами по крупным и средним организациям	1	Федеральная служба государственной статистики
31287	Объем оплаченной продукции неденежными  средствами по крупным и средним организациям	1	Федеральная служба государственной статистики
42998	Объем оплаченной продукции неденежными средствами	1	Федеральная служба государственной статистики
31288	Объем оплаченной продукции переуступкой прав требований по денежным  обязательствам по крупным и средним организациям	1	Федеральная служба государственной статистики
42995	Объем оплаченной продукции переуступкой прав требований по денежным обязательствам	1	Федеральная служба государственной статистики
42993	Объем оплаченной продукции по прямому товарообмену  (бартером)	1	Федеральная служба государственной статистики
31289	Объем оплаченной продукции по прямому товарообмену  (бартером) по крупным и средним организациям	1	Федеральная служба государственной статистики
42992	Объем оплаченной продукции прочими видами  расчетов	1	Федеральная служба государственной статистики
31290	Объем оплаченной продукции прочими видами  расчетов по крупным и средним организациям	1	Федеральная служба государственной статистики
31291	Объем оплаченной продукции ценными  бумагами по крупным и средним организациям	1	Федеральная служба государственной статистики
42996	Объем оплаченной продукции ценными бумагами	1	Федеральная служба государственной статистики
41258	Объем оставленных в недрах полезных ископаемых	45	Федеральная служба по экологическому, технологическому и атомному надзору
43001	Объем отгруженной продукции, выполненных работ и оказанных услуг  (в фактических ценах с учетом НДС, акцизов и аналогичных обязательных платежей)	1	Федеральная служба государственной статистики
31292	Объем отгруженной продукции, выполненных работ и оказанных услуг  (в фактических ценах с учетом НДС, акцизов и аналогичных обязательных платежей) по крупным и средним организациям	1	Федеральная служба государственной статистики
57988	Объем отгруженной продукции, выполненных работ, оказанных услуг предприятиями стран СНГ (в ценах реализации) c 2017 г.	1	Федеральная служба государственной статистики
31277	Объем отгруженной продукции, выполненных работ, оказанных услуг предприятиями стран СНГ (в ценах реализации) по 2016 г.	1	Федеральная служба государственной статистики
40639	Объем отгруженных товаров собственного производства, выполненных  работ, услуг собственными силами, по "чистым" видам деятельности по 2016 г.	1	Федеральная служба государственной статистики
58464	Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по «чистым» видам деятельности с 2017 г.	1	Федеральная служба государственной статистики
41921	Объем отпущенной электроэнергии распределительными сетевыми организациями отдельным категориям потребителей	11	Федеральная антимонопольная служба
51479	Объем перевозок грузов в акватории Северного морского пути	35	Федеральное агентство морского и речного транспорта
57672	Объем перевозок грузов на внутреннем водном транспорте	35	Федеральное агентство морского и речного транспорта
57671	Объем перевозок грузов на морском  транспорте.	35	Федеральное агентство морского и речного транспорта
45453	Объем переработанной собственной нефти	1	Федеральная служба государственной статистики
35036	Объем переработки грузов в морских портах	35	Федеральное агентство морского и речного транспорта
35035	Объем переработки грузов на внутреннем водном транспорте	35	Федеральное агентство морского и речного транспорта
43443	Объем платежей в бюджетную систему Российской Федерации от использования лесов, расположенных на землях лесного фонда, в расчете на гектар земель лесного фонда	24	Федеральное агентство лесного хозяйства
33843	Объем платных услуг населению (оперативные данные)	1	Федеральная служба государственной статистики
57788	Объем платных услуг населению (оперативные данные), с 2017 г.	1	Федеральная служба государственной статистики
31280	Объем платных услуг населению по 2016 г.	1	Федеральная служба государственной статистики
58467	Объем платных услуг населению с 2017 г.	1	Федеральная служба государственной статистики
38994	Объем погашения инвестиционных паев паевых инвестиционных фондов	48	Центральный банк
41919	Объем полезного отпуска электрической энергии	11	Федеральная антимонопольная служба
42644	Объем поставок газа	27	Министерство энергетики Российской Федерации
42295	Объем поступившей (приход) продукции сельского хозяйства	30	Министерство сельского хозяйства Российской Федерации
42332	Объем потребности в финансовых средствах на восстановление техники	30	Министерство сельского хозяйства Российской Федерации
43598	Объем предложения товара, выставленного для продажи впервые	1	Федеральная служба государственной статистики
43646	Объем предоставленных пожертвований, грантов некоммерческим организациям по 2016 г.	1	Федеральная служба государственной статистики
43645	Объем предоставленных пожертвований, грантов социально ориентированным некоммерческим организациям по 2016 г.	1	Федеральная служба государственной статистики
37073	Объем представленных займов кооперативам по 2016 г.	1	Федеральная служба государственной статистики
58147	Объем представленных займов с 2017 г.	1	Федеральная служба государственной статистики
43906	Объем привлеченных внебюджетных средств	1	Федеральная служба государственной статистики
37969	Объем привлеченных средств от продажи облигаций Банка России	48	Центральный банк
43599	Объем проданных фьючерсных контрактов	1	Федеральная служба государственной статистики
45452	Объем производства собственных нефтепродуктов в стоимостном выражении	1	Федеральная служба государственной статистики
37451	Объем просроченной задолженности по заработной плате	22	Министерство образования и науки Российской Федерации
39241	Объем просроченной кредиторской задолженности государственных (муниципальных) учреждений	36	Министерство финансов Российской Федерации
42922	Объем прямых иностранных инвестиций в расчете на 1 жителя субъекта Российской Федерации	1	Федеральная служба государственной статистики
34148	Объем работ, выполненный собственными силами в государственном секторе экономики	1	Федеральная служба государственной статистики
40539	Объем работ, выполненный собственными силами организаций без учета субъектов малого предпринимательства	1	Федеральная служба государственной статистики
33416	Объем работ, выполненный собственными силами организаций по договорам строительного подряда (уточненные данные)	1	Федеральная служба государственной статистики
34149	Объем работ, выполненный собственными силами по договорам строительного подряда по полному кругу строительных организаций	1	Федеральная служба государственной статистики
57814	Объем работ, выполненных собственными силами, включая работы, выполненные хозспособом (уточненные данные)	1	Федеральная служба государственной статистики
57812	Объем работ, выполненных собственными силами, включая работы, выполненные хозспособом, по полному кругу строительных организаций	1	Федеральная служба государственной статистики
41642	Объем расходов на оказание амбулаторной медицинской помощи в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам Российской Федерации	15	Министерство здравоохранения Российской Федерации
41640	Объем расходов на оказание медицинской помощи в дневных стационарах всех типов в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам Российской Федерации	15	Министерство здравоохранения Российской Федерации
41643	Объем расходов на оказание скорой медицинской помощи в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам Российской Федерации	15	Министерство здравоохранения Российской Федерации
41641	Объем расходов на оказание стационарной медицинской помощи в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам Российской Федерации	15	Министерство здравоохранения Российской Федерации
34559	Объем сброса сточных вод	23	Федеральное агентство водных ресурсов
37026	Объем социальных выплат населению и налогооблагаемых денежных доходов населения	1	Федеральная служба государственной статистики
43493	Объем среднемноголетнего речного стока	42	Федеральная служба по гидрометеорологии и мониторингу окружающей среды
51632	Объем средств в соответствии с закрытыми актами по заключенным контрактам	1	Федеральная служба государственной статистики
42373	Объем средств государственной поддержки в рамках программ и мероприятий по развитию сельского хозяйства	30	Министерство сельского хозяйства Российской Федерации
57879	Объем средств федерального бюджета, направленных на поддержку градообразующей организации	68	Министерство транспорта Российской Федерации
57898	Объем средств федерального бюджета, направленных на поддержку градообразующей организации	26	Министерство промышленности и торговли Российской Федерации
58049	Объем средств федерального бюджета, направленных на поддержку градообразующей организации	30	Министерство сельского хозяйства Российской Федерации
58287	Объем средств федерального бюджета, направленных на поддержку градообразующей организации	27	Министерство энергетики Российской Федерации
33848	Объем средств, предусмотренных на предоставление социальной поддержки гражданам, выплаченных в денежной форме (через банковские счета в банках, организации связи или иным способом)	1	Федеральная служба государственной статистики
31283	Объем средств, предусмотренных на предоставление социальной поддержки по оплате жилого помещения и коммунальных услуг	1	Федеральная служба государственной статистики
42336	Объем топлива, поступившего в сельскохозяйственные организации	30	Министерство сельского хозяйства Российской Федерации
38710	Объем торгов на фондовых биржах	48	Центральный банк
39684	Объем услуг - аудит  за отчетный год	36	Министерство финансов Российской Федерации
39685	Объем услуг - всего за отчетный год	36	Министерство финансов Российской Федерации
43793	Объем услуг почтовой связи в расчете на 1-го жителя	18	Министерство связи и массовых коммуникаций Российской Федерации
55259	Объем финансирования государственных научных фондов	22	Министерство образования и науки Российской Федерации
57945	Объем финансирования молодежной политики из бюджета  органов местного самоуправления	70	Федеральное агентство по делам молодежи
57946	Объем финансирования молодежной политики из бюджета субъекта Российской Федерации	70	Федеральное агентство по делам молодежи
57948	Объем финансирования молодежных форумов из средств бюджетов субъектов Российской Федерации	70	Федеральное агентство по делам молодежи
57947	Объем финансирования молодежных форумов из средств органов бюджетов местного самоуправления	70	Федеральное агентство по делам молодежи
44262	Объем финансирования образовательных организаций высшего образования	22	Министерство образования и науки Российской Федерации
43052	Объем финансирования образовательных учреждений, реализующих программы высшего профессионального образования	1	Федеральная служба государственной статистики
43059	Объем финансирования образовательных учреждений, реализующих программы среднего профессионального образования	1	Федеральная служба государственной статистики
44277	Объем финансирования профессиональных образовательных организаций, осуществляющих подготовку специалистов среднего звена	22	Министерство образования и науки Российской Федерации
38023	Объемная активность стронция-90 в приземном слое атмосферы	42	Федеральная служба по гидрометеорологии и мониторингу окружающей среды
38024	Объемная активность цезия-137 в приземном слое атмосферы	42	Федеральная служба по гидрометеорологии и мониторингу окружающей среды
42480	Объемы обязательств и требований кредитных организаций по срочным сделкам	48	Центральный банк
35049	Объемы региональных и межрегиональных перевозок грузов и пассажиров внутренним водным транспортом	35	Федеральное агентство морского и речного транспорта
51636	Объемы средств в соответствии с закрытыми актами по заключенным контрактам из консолидированных бюджетов субъектов Российской Федерации	1	Федеральная служба государственной статистики
57501	Объемы средств консолидированных бюджетов субъектов Российской Федерации, предусмотренные на реализацию ФЦП (подпрограммы) на отчетный год (c I квартала по III квартал 2016 г.)	1	Федеральная служба государственной статистики
58015	Объемы средств консолидированных бюджетов субъектов Российской Федерации, предусмотренные на реализацию ФЦП (подпрограммы) на отчетный год (с IV квартала 2016 г.)	1	Федеральная служба государственной статистики
51633	Объемы средств консолидированных бюджетов субъектов Российской Федерации, предусмотренные на реализацию программы (подпрограммы)	1	Федеральная служба государственной статистики
51628	Объемы финансирования, предусмотренного на реализацию программы (подпрограммы)	1	Федеральная служба государственной статистики
57532	Объём ввода жилья экономического класса	29	Министерство строительства и жилищно-коммунального хозяйства Российской Федерации
45385	Обязательные страховые платежи от несчастных случаев на производстве и профессиональных заболеваниях  по 2016 г.	1	Федеральная служба государственной статистики
45387	Обязательные страховые платежи по 2016 г.	1	Федеральная служба государственной статистики
43867	Одногодичная летальность больных со злокачественными новообразованиями	15	Министерство здравоохранения Российской Федерации
43700	Ожидаемая продолжительность жизни при рождении	1	Федеральная служба государственной статистики
